video_id,comment_id,author,text,like_count,published_at,is_reply,total_reply_count,reply_to
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg,@LewisHancox,"Chickens, this video is inspired by a chapter in my new graphic novel Escape From St Hell all about my younger trans years! You can buy it from Amazon or any book shop 🫶🔥",11095,2024-05-16T22:54:01Z,False,29,
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg.A3WVhWRs2gqA3WlKHsH4OZ,@thickshmeat948,Gerard way cosplay,0,2024-05-17T01:19:16Z,True,0,UgxLiiOqPvahznc3GGh4AaABAg
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg.A3WVhWRs2gqA3XM8PH2sP7,@lenkapalova6797,SECOND❤🎉,4,2024-05-17T06:49:41Z,True,0,UgxLiiOqPvahznc3GGh4AaABAg
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg.A3WVhWRs2gqA3Y-UmUlNVf,@zoeandreolli9745,Hi I go to school in Switzerland and I just wanted to tell you my school just bought your first book and it's now in the school library!,24,2024-05-17T12:51:01Z,True,0,UgxLiiOqPvahznc3GGh4AaABAg
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg.A3WVhWRs2gqA3YWWB6oYK5,@Bl00dy_M4ry2.0,I wish it wasn't 18+ :(,1,2024-05-17T17:39:33Z,True,0,UgxLiiOqPvahznc3GGh4AaABAg
EnVab0wAtyQ,UgxLiiOqPvahznc3GGh4AaABAg.A3WVhWRs2gqA3_z7AvEGaZ,@GoetzeLP,Congratulations you are one of the few trans people that I couldn't destinguish as trans by just seeing them... (well maybe I have seen a lot more people that I couldn't tell were trans now that I am thinking about it...) 🤣😂,2,2024-05-18T16:36:46Z,True,0,UgxLiiOqPvahznc3GGh4AaABAg
EnVab0wAtyQ,Ugzhp8p8pgk-T-8Szol4AaABAg,@mayo_soup,Tecnincally the mom is right- looks just like gerard way in helena,0,2025-06-01T04:51:18Z,False,0,
EnVab0wAtyQ,UgyO7C3eCf64GUY4M-R4AaABAg,@stewtrooper3425,https://youtu.be/0lcin5TcU4g?si=VGfeS5YXz45lvAPu,0,2025-06-01T02:34:36Z,False,0,
EnVab0wAtyQ,UgxgmqExYuEr7bnEP914AaABAg,@Cashcart_,"While I support the lgbt and transgender people, i cannot support a British “person”. I hope you can understand.",0,2025-05-30T20:51:23Z,False,1,
EnVab0wAtyQ,UgxgmqExYuEr7bnEP914AaABAg.AIlAwzYvFzJAIpBCooAAY9,@Riverside_Foxcub,"Um I literally don't 🤓
 What do you mean?",0,2025-06-01T10:10:39Z,True,0,UgxgmqExYuEr7bnEP914AaABAg
EnVab0wAtyQ,UgxgnLP5T3WnpLgl5z94AaABAg,@karlsbadkitty9117,Omg the Forever the Sickest Kids shirt has me spiraling backwards.,0,2025-05-30T17:20:39Z,False,0,
EnVab0wAtyQ,UgwNnoamYq-1JC-iSad4AaABAg,@AngelWalsh-e7t,You look like bille Joe Armstrong from Green Day with the black suit and red tie which I personally love Green Day,1,2025-05-30T01:23:20Z,False,0,
EnVab0wAtyQ,UgyWhkeLHXgY2ZJg7_B4AaABAg,@danielstandford4930,"The BJA black button up, black jeans, red tie. So iconic. Haha but I never grew out of the phase just realized the fit only really works once",0,2025-05-30T01:21:52Z,False,0,
EnVab0wAtyQ,Ugy6lj7_FKi3fBZcrt14AaABAg,@ILikeToEditYK,Yah cheeky mst,0,2025-05-29T23:34:29Z,False,0,
EnVab0wAtyQ,UgwgEO18adRzZfCs_gt4AaABAg,@-_-Ash-_-,Love the Billie Joe American idiot fit😂,0,2025-05-29T12:08:34Z,False,0,
EnVab0wAtyQ,Ugz4mWjbp4enyowaU814AaABAg,@catermurp,"I can't believe this person is trans, like, one looks more masculine being a biological female than most of my male friends 💔",0,2025-05-28T18:07:35Z,False,0,
EnVab0wAtyQ,UgwhKW3XwJ_MtQ73kF14AaABAg,@danni_moo2,😂,0,2025-05-25T20:14:43Z,False,0,
